x,y
970.97,14485
5388.6,2797.5
11163,2990.6
8145.2,8203.9
13123,13059
12276,2375.5
4708.6,2614.4
2402,2340.4
8591.3,4005.6
5835.5,12143
11392,3391.8
11892,12739
388.22,844.06
7047.5,3338
1311.2,3345.7
11788,5105.2
7489.6,9024.9
342.57,7550
3987.1,3312.1
8920.3,12733
7255.1,5019.4
5884.6,2961.8
2711.3,10254
8176.7,11589
12790,5230.8
2499.9,11026
5791.7,10254
9338.3,5704.6
807.38,8077.3
2356.8,6952.3
8773.8,12612
4893.5,8251.8
66.54,11052
2779.6,5277.3
2389.1,11617
2712.7,10232
5989.2,14538
12494,1413.6
8452.4,13430
11625,6857.5
1262.1,3442.5
5999.1,8519.5
306.65,14359
9480.1,7145.1
3308.4,11651
9430.9,7545.2
5530.3,7378.5
13599,10017
10475,5669.5
12056,3157
9743.3,7092.7
683.23,11353
12523,14047
7572.7,8983.1
4321,5170.7
11955,12076
13495,11627
10355,12856
3608.6,675.04
5867.1,12015
1910.3,1976.6
11591,5533
4335.4,5199.2
227.56,2992
8000.4,4154.4
10648,261.13
8596.5,161.62
13572,681.78
1046.6,13676
11859,3440.6
10347,14283
6243.4,10186
9235,11947
9191.6,12754
10384,6269.7
14876,13569
9163.1,4366.7
13098,7997
2601,5225.3
11939,137.83
9277.7,5952
283.3,12803
9771.8,14752
8473.9,14815
4908.5,8527.2
4228.3,2628
2459.8,8655.4
14646,8846.1
9216,13327
8582.1,1519.2
9044,14480
3763,11288
5081,4469.8
1282.9,11213
12386,13423
11077,3341.4
3804.2,6289
9624,8023.4
9378.6,7218.7
5354.8,5552.5
11365,5003.7
5375.5,2639.8
10425,7688
13845,5448.7
5643.6,13182
4789.6,11450
10302,6208.7
10750,8798.2
5500.8,4817.9
3178.7,5709.6
3960,2919
8825.2,13819
8783.6,2677
9507.5,8055.9
1054.2,13664
4474.3,8998.9
4340.6,1294.3
10374,6260
4902.2,8564.9
12019,10419
4092,3573.4
2652.4,11293
11358,1074.7
11128,11376
4820,2749.7
4487.3,11636
6578.3,11208
9163.1,9397.7
6167.7,10283
5705.7,11237
6900.6,6130.5
5335.4,2013.7
12802,14482
10059,10333
5478,4863.7
360.53,3932.1
2116.1,115.2
5196.9,11683
7090.4,10057
7003.6,7317.3
3763.3,9767.9
4832.7,8968.7
7655.6,1868.6
14583,7785.9
13547,9511.3
9809.1,3735.7
6461.7,8955.2
9887.3,1501.4
2876.9,10951
4824.9,3463
7640.8,5513.3
774.69,112.26
12192,10960
553.76,13815
5839,9579.2
