x,y
14503,8227.9
5932.3,1704.9
14793,1702.6
3476.6,9377
7512,2365.5
215.34,12995
12492,2405.7
11974,8995.9
7526.6,2475
10872,11692
452.06,14807
14433,12956
14873,5018.5
14822,12506
2384,13538
4708.1,2832.9
9824.2,13269
598.72,714.85
509.75,6135.2
4657.2,5682.2
7746.2,14464
12080,6075.7
7725.7,3767.8
3694,13077
14967,4406.3
5512.6,13194
6240.1,6524.6
7157.9,2595.3
12732,2974.3
847.39,13797
12886,12648
14442,4358.1
14944,11857
345.04,303.88
3691.6,8645.9
9575.3,857.96
11647,10926
4999,7811.1
13676,3830.9
6723.8,13544
9979.3,7139.2
14279,2242.8
1500.3,12158
5768.4,8305.6
9625.5,14565
9708.8,734.57
1070.4,7750
10363,63.235
14907,13529
11725,11247
3317.9,9898.9
13345,433.84
3340.8,5487.8
9384,4593.5
3024.8,11250
4132.6,7121.4
13266,13378
1639.6,5922.4
8767.8,13958
514.2,6571.5
2163.7,9003.4
2401.7,2917.1
6818.8,2267.5
13276,9978.3
1053.7,92.561
10271,11142
8285.3,2208.6
12491,11443
14660,12230
2113.6,1955.9
6067.4,13806
3846.3,7881.6
3177.4,4782.5
11641,14579
8216.8,7014
3255.3,4042.3
6059.3,14107
6508.7,963.36
9662.8,5550.4
7512.8,8936.3
11418,14066
4558.4,12822
2629.3,2100.1
14960,4367.5
5994.9,9508.9
11081,9509.8
1050.6,13637
10199,803.19
7067.3,3180.4
14115,4424.1
3635.6,2535.1
2542.2,11422
13318,2473.2
11627,8022.3
6445.6,12359
4123.1,10149
6734,8706.9
1723.1,4991.3
2931.8,7999.3
3975.9,8650.4
6559.6,9662.1
1153.7,13230
1986.3,3842.4
5896.8,5654.6
6525.7,3341.1
9076.2,7922.2
10066,7128.5
8372.5,12512
6200.5,13732
9621.8,3130.3
9815.6,4900
9959.2,9432.6
264.75,2604.8
916.32,4165.1
10871,7166.8
8608.9,8256.9
14024,7815.5
3618.6,2567.5
5846.6,13090
9662.7,8907.4
6756.2,7038.3
9326.6,6910.7
99.187,12287
933.89,4173.7
3130.8,2910.5
2677,9630.7
8596.8,4425.4
11557,12134
11771,777.49
7075.8,12421
1377.7,13161
12994,102.68
11228,4354.6
623.21,8487.7
7898.8,11722
3230.4,6375
1584.6,3046.2
1090.5,900.64
13676,6136.5
6646.1,7157
9782.7,4764.3
12892,12438
11163,12169
661.59,4355.9
2137.6,2026.4
14034,3966.9
7012.9,13888
6998.4,7845.7
12437,2656.4
10703,12535
12744,7206.6
7532.4,2349
1794.7,6573.9
9118.4,13544
14805,11760
4917.5,2956.2
8404.9,1151.5
5910,12259
5280.7,4932.5
12481,4324.4
4439.7,12863
2366.7,5614.6
12529,2283.2
2714,10311
2839.5,6965.6
1611.2,6002.4
2490.9,4424.6
967.57,3763.1
8483.2,14438
522.27,1756.4
9461.7,13450
6749,3912.8
